fixture_id	Memory Purpose
T2-D-001	Procedural Policy
T2-D-002	Procedural Policy
T2-L-001	Procedural Policy
T2-L-070	Procedural Policy
T2-L-002	Procedural Policy
T2-L-011	Procedural Policy
T2-L-071	Procedural Policy
T2-L-015	Procedural Policy
T2-L-072	Procedural Policy
T2-L-017	Procedural Policy
T2-L-018	Procedural Policy
T2-L-083	Procedural Policy
T2-L-084	Procedural Policy
T2-L-024	Procedural Policy
T2-L-054	Other Model
T2-L-080	Other Model
T2-L-095	Procedural Policy
T2-L-096	Procedural Policy
T2-L-097	Other Model
T2-L-003	Procedural Policy
T2-L-051	Procedural Policy
T2-L-013	Procedural Policy
T2-L-073	Procedural Policy
T2-L-026	Procedural Policy
T2-L-055	Other Model
T2-L-098	Procedural Policy
T2-L-099	Procedural Policy
T2-L-100	Knowledge Base
T2-L-101	User Model
T2-L-004	Procedural Policy
T2-L-005	Procedural Policy
T2-L-009	Procedural Policy
T2-L-085	Procedural Policy
T2-L-010	Procedural Policy
T2-L-012	Procedural Policy
T2-L-027	Procedural Policy
T2-L-041	Procedural Policy
T2-L-056	Other Model
T2-L-102	Procedural Policy
T2-L-103	Procedural Policy
T2-L-104	Knowledge Base
T2-L-105	Self Model
T2-L-019	Procedural Policy
T2-L-020	Procedural Policy
T2-L-052	Procedural Policy
T2-L-057	Other Model
T2-L-106	Procedural Policy
T2-L-107	Procedural Policy
T2-L-108	User Model
T2-L-006	Procedural Policy
T2-L-021	Procedural Policy
T2-L-082	Procedural Policy
T2-L-042	Procedural Policy
T2-L-058	Other Model
T2-L-109	Procedural Policy
T2-L-110	Self Model
T2-L-111	Knowledge Base
T2-L-033	Knowledge Base
T2-L-081	Knowledge Base
T2-L-059	Other Model
T2-L-112	Knowledge Base
T2-L-113	Knowledge Base
T2-L-114	Other Model
T2-L-007	Procedural Policy
T2-L-014	Procedural Policy
T2-L-074	Procedural Policy
T2-L-016	Procedural Policy
T2-L-075	Procedural Policy
T2-L-022	Procedural Policy
T2-L-028	Procedural Policy
T2-L-076	Procedural Policy
T2-L-034	Other Model
T2-L-036	World Model
T2-L-086	World Model
T2-L-060	Other Model
T2-L-069	User Model
T2-L-115	Procedural Policy
T2-L-116	Procedural Policy
T2-L-117	Procedural Policy
T2-L-118	User Model
T2-L-119	World Model
T2-L-043	Procedural Policy
T2-L-061	Other Model
T2-L-120	Procedural Policy
T2-L-121	Procedural Policy
T2-L-122	Procedural Policy
T2-L-123	World Model
T2-L-008	Procedural Policy
T2-L-029	Procedural Policy
T2-L-077	Procedural Policy
T2-L-030	Procedural Policy
T2-L-037	Procedural Policy
T2-L-078	Procedural Policy
T2-L-062	Other Model
T2-L-124	Procedural Policy
T2-L-125	Procedural Policy
T2-L-126	User Model
T2-L-127	World Model
T2-L-025	Procedural Policy
T2-L-063	Other Model
T2-L-128	Procedural Policy
T2-L-129	Knowledge Base
T2-L-130	User Model
T2-L-038	Procedural Policy
T2-L-064	Other Model
T2-L-131	Procedural Policy
T2-L-132	Procedural Policy
T2-L-133	World Model
T2-L-039	Procedural Policy
T2-L-087	Procedural Policy
T2-L-088	Procedural Policy
T2-L-044	Procedural Policy
T2-L-065	Other Model
T2-L-089	Other Model
T2-L-090	Other Model
T2-L-134	Procedural Policy
T2-L-135	Procedural Policy
T2-L-136	Self Model
T2-L-137	World Model
T2-L-035	Other Model
T2-L-138	Procedural Policy
T2-L-139	Knowledge Base
T2-L-140	Self Model
T2-L-023	Procedural Policy
T2-L-031	Procedural Policy
T2-L-079	Procedural Policy
T2-L-066	Other Model
