memory_location	purpose
personal-memory/2024-01/01	KB
personal-memory/2024-01/02	UM
personal-memory/2024-01/03	UM
personal-memory/2024-01/04	UM
personal-memory/2024-01/05	UM
personal-memory/2024-01/06	UM
personal-memory/2024-01/07	UM
personal-memory/2024-01/08	OM
personal-memory/2024-01/09	PP
personal-memory/2024-01/10	SM
personal-memory/2024-02/01	KB
personal-memory/2024-02/02	UM
personal-memory/2024-02/03	UM
personal-memory/2024-02/04	UM
personal-memory/2024-02/05	UM
personal-memory/2024-02/06	UM
personal-memory/2024-02/07	UM
personal-memory/2024-02/08	OM
personal-memory/2024-02/09	PP
personal-memory/2024-02/10	WM
personal-memory/2024-03/01	KB
personal-memory/2024-03/02	UM
personal-memory/2024-03/03	UM
personal-memory/2024-03/04	UM
personal-memory/2024-03/05	UM
personal-memory/2024-03/06	UM
personal-memory/2024-03/07	UM
personal-memory/2024-03/08	OM
personal-memory/2024-03/09	SM
personal-memory/2024-03/10	WM
personal-memory/2024-04/01	KB
personal-memory/2024-04/02	UM
personal-memory/2024-04/03	UM
personal-memory/2024-04/04	UM
personal-memory/2024-04/05	UM
personal-memory/2024-04/06	UM
personal-memory/2024-04/07	UM
personal-memory/2024-04/08	OM
personal-memory/2024-04/09	PP
personal-memory/2024-04/10	SM
personal-memory/2024-05/01	KB
personal-memory/2024-05/02	UM
personal-memory/2024-05/03	UM
personal-memory/2024-05/04	UM
personal-memory/2024-05/05	UM
personal-memory/2024-05/06	UM
personal-memory/2024-05/07	UM
personal-memory/2024-05/08	OM
personal-memory/2024-05/09	PP
personal-memory/2024-05/10	UM
personal-memory/2024-06/01	KB
personal-memory/2024-06/02	UM
personal-memory/2024-06/03	UM
personal-memory/2024-06/04	UM
personal-memory/2024-06/05	UM
personal-memory/2024-06/06	UM
personal-memory/2024-06/07	UM
personal-memory/2024-06/08	OM
personal-memory/2024-06/09	SM
personal-memory/2024-06/10	WM
personal-memory/2024-07/01	KB
personal-memory/2024-07/02	UM
personal-memory/2024-07/03	UM
personal-memory/2024-07/04	UM
personal-memory/2024-07/05	UM
personal-memory/2024-07/06	UM
personal-memory/2024-07/07	UM
personal-memory/2024-07/08	OM
personal-memory/2024-07/09	PP
personal-memory/2024-07/10	SM
personal-memory/2024-08/01	KB
personal-memory/2024-08/02	UM
personal-memory/2024-08/03	UM
personal-memory/2024-08/04	UM
personal-memory/2024-08/05	UM
personal-memory/2024-08/06	UM
personal-memory/2024-08/07	UM
personal-memory/2024-08/08	OM
personal-memory/2024-08/09	PP
personal-memory/2024-08/10	WM
personal-memory/2024-09/01	UM
personal-memory/2024-09/02	UM
personal-memory/2024-09/03	UM
personal-memory/2024-09/04	UM
personal-memory/2024-09/05	UM
personal-memory/2024-09/06	UM
personal-memory/2024-09/07	UM
personal-memory/2024-09/08	OM
personal-memory/2024-09/09	SM
personal-memory/2024-09/10	WM
personal-memory/2024-10/01	KB
personal-memory/2024-10/02	UM
personal-memory/2024-10/03	UM
personal-memory/2024-10/04	UM
personal-memory/2024-10/05	UM
personal-memory/2024-10/06	UM
personal-memory/2024-10/07	UM
personal-memory/2024-10/08	OM
personal-memory/2024-10/09	PP
personal-memory/2024-10/10	SM
personal-memory/2024-11/01	KB
personal-memory/2024-11/02	UM
personal-memory/2024-11/03	UM
personal-memory/2024-11/04	UM
personal-memory/2024-11/05	UM
personal-memory/2024-11/06	UM
personal-memory/2024-11/07	UM
personal-memory/2024-11/08	OM
personal-memory/2024-11/09	PP
personal-memory/2024-11/10	WM
personal-memory/2024-12/01	KB
personal-memory/2024-12/02	UM
personal-memory/2024-12/03	UM
personal-memory/2024-12/04	UM
personal-memory/2024-12/05	UM
personal-memory/2024-12/06	UM
personal-memory/2024-12/07	UM
personal-memory/2024-12/08	OM
personal-memory/2024-12/09	SM
personal-memory/2024-12/10	WM
personal-memory/2025-01/01	KB
personal-memory/2025-01/02	UM
personal-memory/2025-01/03	UM
personal-memory/2025-01/04	UM
personal-memory/2025-01/05	UM
personal-memory/2025-01/06	UM
personal-memory/2025-01/07	UM
personal-memory/2025-01/08	OM
personal-memory/2025-01/09	PP
personal-memory/2025-01/10	SM
personal-memory/2025-02/01	KB
personal-memory/2025-02/02	UM
personal-memory/2025-02/03	UM
personal-memory/2025-02/04	UM
personal-memory/2025-02/05	UM
personal-memory/2025-02/06	UM
personal-memory/2025-02/07	UM
personal-memory/2025-02/08	OM
personal-memory/2025-02/09	PP
personal-memory/2025-02/10	UM
personal-memory/2025-03/01	KB
personal-memory/2025-03/02	UM
personal-memory/2025-03/03	UM
personal-memory/2025-03/04	UM
personal-memory/2025-03/05	UM
personal-memory/2025-03/06	UM
personal-memory/2025-03/07	UM
personal-memory/2025-03/08	OM
personal-memory/2025-03/09	SM
personal-memory/2025-03/10	KB
personal-memory/2025-04/01	KB
personal-memory/2025-04/02	UM
personal-memory/2025-04/03	UM
personal-memory/2025-04/04	UM
personal-memory/2025-04/05	UM
personal-memory/2025-04/06	UM
personal-memory/2025-04/07	UM
personal-memory/2025-04/08	OM
personal-memory/2025-04/09	PP
personal-memory/2025-04/10	SM
personal-memory/2025-05/01	KB
personal-memory/2025-05/02	UM
personal-memory/2025-05/03	UM
personal-memory/2025-05/04	UM
personal-memory/2025-05/05	UM
personal-memory/2025-05/06	UM
personal-memory/2025-05/07	UM
personal-memory/2025-05/08	OM
personal-memory/2025-05/09	PP
personal-memory/2025-05/10	WM
personal-memory/2025-06/01	KB
personal-memory/2025-06/02	UM
personal-memory/2025-06/03	UM
personal-memory/2025-06/04	UM
personal-memory/2025-06/05	UM
personal-memory/2025-06/06	UM
personal-memory/2025-06/07	UM
personal-memory/2025-06/08	OM
personal-memory/2025-06/09	SM
personal-memory/2025-06/10	WM
personal-memory/2025-07/01	KB
personal-memory/2025-07/02	UM
personal-memory/2025-07/03	UM
personal-memory/2025-07/04	UM
personal-memory/2025-07/05	UM
personal-memory/2025-07/06	UM
personal-memory/2025-07/07	UM
personal-memory/2025-07/08	OM
personal-memory/2025-07/09	PP
personal-memory/2025-07/10	SM
personal-memory/2025-08/01	KB
personal-memory/2025-08/02	UM
