memory_location	목적
description/task-3	PP
description/task-3-task	PP
local/personal-memory/2024-01/01	KB
local/personal-memory/2024-01/02	UM
local/personal-memory/2024-01/03	UM
local/personal-memory/2024-01/04	UM
local/personal-memory/2024-01/05	UM
local/personal-memory/2024-01/06	UM
local/personal-memory/2024-01/07	UM
local/personal-memory/2024-01/08	OM
local/personal-memory/2024-01/09	PP
local/personal-memory/2024-01/10	SM
local/personal-memory/2024-02/01	KB
local/personal-memory/2024-02/02	UM
local/personal-memory/2024-02/03	UM
local/personal-memory/2024-02/04	UM
local/personal-memory/2024-02/05	UM
local/personal-memory/2024-02/06	UM
local/personal-memory/2024-02/07	UM
local/personal-memory/2024-02/08	OM
local/personal-memory/2024-02/09	PP
local/personal-memory/2024-02/10	WM
local/personal-memory/2024-03/01	KB
local/personal-memory/2024-03/02	UM
local/personal-memory/2024-03/03	UM
local/personal-memory/2024-03/04	UM
local/personal-memory/2024-03/05	UM
local/personal-memory/2024-03/06	UM
local/personal-memory/2024-03/07	UM
local/personal-memory/2024-03/08	OM
local/personal-memory/2024-03/09	SM
local/personal-memory/2024-03/10	WM
local/personal-memory/2024-04/01	KB
local/personal-memory/2024-04/02	UM
local/personal-memory/2024-04/03	UM
local/personal-memory/2024-04/04	UM
local/personal-memory/2024-04/05	UM
local/personal-memory/2024-04/06	UM
local/personal-memory/2024-04/07	UM
local/personal-memory/2024-04/08	OM
local/personal-memory/2024-04/09	PP
local/personal-memory/2024-04/10	SM
local/personal-memory/2024-05/01	KB
local/personal-memory/2024-05/02	UM
local/personal-memory/2024-05/03	UM
local/personal-memory/2024-05/04	UM
local/personal-memory/2024-05/05	UM
local/personal-memory/2024-05/06	UM
local/personal-memory/2024-05/07	UM
local/personal-memory/2024-05/08	OM
local/personal-memory/2024-05/09	PP
local/personal-memory/2024-05/10	UM
local/personal-memory/2024-06/01	KB
local/personal-memory/2024-06/02	UM
local/personal-memory/2024-06/03	UM
local/personal-memory/2024-06/04	UM
local/personal-memory/2024-06/05	UM
local/personal-memory/2024-06/06	UM
local/personal-memory/2024-06/07	UM
local/personal-memory/2024-06/08	OM
local/personal-memory/2024-06/09	SM
local/personal-memory/2024-06/10	WM
local/personal-memory/2024-07/01	KB
local/personal-memory/2024-07/02	UM
local/personal-memory/2024-07/03	UM
local/personal-memory/2024-07/04	UM
local/personal-memory/2024-07/05	UM
local/personal-memory/2024-07/06	UM
local/personal-memory/2024-07/07	UM
local/personal-memory/2024-07/08	OM
local/personal-memory/2024-07/09	PP
local/personal-memory/2024-07/10	SM
local/personal-memory/2024-08/01	KB
local/personal-memory/2024-08/02	UM
local/personal-memory/2024-08/03	UM
local/personal-memory/2024-08/04	UM
local/personal-memory/2024-08/05	UM
local/personal-memory/2024-08/06	UM
local/personal-memory/2024-08/07	UM
local/personal-memory/2024-08/08	OM
local/personal-memory/2024-08/09	PP
local/personal-memory/2024-08/10	WM
