"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"9c8ae937-8209-5057-9cfe-932fed08eb16"	"T1-Q-001"	"campus-wiki/construction-details/work-bundles/01"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"608182cc-9e86-5483-bd58-5c23842a6c03"	"T1-Q-053"	"campus-wiki/construction-details/work-bundles/01-plant-measurement"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"b7bebe6a-7a43-5060-a164-682e6fa3debf"	"T1-Q-054"	"campus-wiki/construction-details/work-bundles/01-electrical-records"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"b3be2407-8fc9-5d0a-a96e-037168ad1c82"	"T1-Q-002"	"campus-wiki/construction-details/work-bundles/02-pump-alignment"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"ec0fed0f-648d-5308-82f3-b3d7a082809d"	"T1-Q-031"	"campus-wiki/construction-details/work-bundles/02-pipe-replacement"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"b8c58738-47de-585c-be9f-9d9c755072d5"	"T1-Q-003"	"campus-wiki/construction-details/work-bundles/03-controller-renewal"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"964ec3de-7929-5785-a57a-07ab940ffd1d"	"T1-Q-032"	"campus-wiki/construction-details/work-bundles/03-drive-alignment"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"f67d88ab-798c-5a78-9b31-da24eff592d2"	"T1-Q-033"	"campus-wiki/construction-details/work-bundles/03-door-sensors"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"e2b09ba0-b87e-5d1f-be41-afea42c00ada"	"T1-Q-004"	"campus-wiki/construction-details/work-bundles/04-fire-interlock"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"21917589-763e-5f85-b0e3-d49c9f2ca1ee"	"T1-Q-034"	"campus-wiki/construction-details/work-bundles/04-detector-replacement"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"25e2cae7-5a27-57bb-a59a-ff0ae564606c"	"T1-Q-005"	"campus-wiki/construction-details/work-bundles/05"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"ec3fa00a-bf6e-54ee-8f56-aa002b6cfbcc"	"T1-Q-006"	"campus-wiki/construction-details/work-bundles/06"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"c1e21d77-64d1-522c-ac72-ac1655281240"	"T1-Q-007"	"campus-wiki/construction-details/work-bundles/07-front-entrance"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"20ff35b6-8e5e-5e54-a64b-8f7c898270e1"	"T1-Q-055"	"campus-wiki/construction-details/work-bundles/07-front-slip-finish"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"016f9e62-8399-5ce9-947f-ce0f4a93b5c2"	"T1-Q-056"	"campus-wiki/construction-details/work-bundles/07-front-handrail"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"7822c660-5d62-5ef9-af7a-92e00e2bf5d2"	"T1-Q-035"	"campus-wiki/construction-details/work-bundles/07-accessible-ramp"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"79dd4cee-8c55-577d-b888-aa1e20dbf5da"	"T1-Q-057"	"campus-wiki/construction-details/work-bundles/07-ramp-slip-finish"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"908597be-55a0-5acd-ba81-51b586fb09cb"	"T1-Q-058"	"campus-wiki/construction-details/work-bundles/07-ramp-handrail"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"de397e26-c757-5870-a411-407c4ba37956"	"T1-Q-008"	"campus-wiki/construction-details/work-bundles/08"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"18941847-ce45-5df5-be25-cb16b5a7dc1d"	"T1-Q-009"	"campus-wiki/construction-details/work-bundles/09"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"eebb0554-b421-5349-b499-bd08aeb7be2d"	"T1-Q-059"	"campus-wiki/construction-details/work-bundles/09-water-supply"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"67a7bc34-5b10-5458-9fb7-699d7d68ca5d"	"T1-Q-060"	"campus-wiki/construction-details/work-bundles/09-sewage"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"e3fc22ae-0728-5c86-a166-656b9b777713"	"T1-Q-010"	"campus-wiki/construction-details/work-bundles/10"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"420d6948-c6b1-5c07-8581-4a3d4c7fc871"	"T1-Q-061"	"campus-wiki/construction-details/work-bundles/10-detector-test"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"017143d0-2b3e-52b9-a2e8-b222b034f8d7"	"T1-Q-062"	"campus-wiki/construction-details/work-bundles/10-smoke-control-test"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"ad74d2c3-cc96-55e9-8b2b-3575746b7dec"	"T1-Q-063"	"campus-wiki/construction-details/work-bundles/10-ventilation-test"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"466b469a-7d80-5103-9802-233eff16459c"	"T1-Q-064"	"campus-wiki/construction-details/work-bundles/10-interlock-check"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"f691d790-6ee8-5620-93d2-c44355e4b06e"	"T1-Q-011"	"campus-wiki/construction-details/work-bundles/11"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"a3a51312-9216-57b8-a51e-3b15af6db6d2"	"T1-Q-065"	"campus-wiki/construction-details/work-bundles/11-leak-check"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"27134634-0816-5a5d-8c36-851d43e3196c"	"T1-Q-066"	"campus-wiki/construction-details/work-bundles/11-access-panel-restoration"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"b10c7133-df53-536f-8a66-53ac079661a9"	"T1-Q-012"	"campus-wiki/construction-details/work-bundles/12"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/work-bundles"	"6e58dd1d-cb8f-5581-a4a3-31cc97c90200"	"T1-Q-047"	"campus-wiki/construction-details/work-bundles/13"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"484fe3d1-d2e6-5771-b474-3a12957263d7"	"T1-Q-013"	"campus-wiki/construction-details/dependencies/01"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"8c94fce2-7299-521f-b98e-94889d89a460"	"T1-Q-014"	"campus-wiki/construction-details/dependencies/02"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"c6e4612a-0733-534e-a9e0-80eb3f891307"	"T1-Q-015"	"campus-wiki/construction-details/dependencies/03"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"fd286ca4-7710-553a-92c7-8a6683b41d23"	"T1-Q-016"	"campus-wiki/construction-details/dependencies/04"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"ffd2fe80-2a3d-5aa5-b8c5-9f1382ec525c"	"T1-Q-017"	"campus-wiki/construction-details/dependencies/05"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"25857a9d-d9cb-55b3-8db3-801c27bdd9bf"	"T1-Q-018"	"campus-wiki/construction-details/dependencies/06"	"[""construction-facilities""]"	"null"	""	""
"1"	"task-1-campus-authority"	"campus-wiki/construction-details/dependencies"	"065cb7e2-1860-536d-bb8a-2af1ef8d70e2"	"T1-Q-048"	"campus-wiki/construction-details/dependencies/07"	"[""construction-facilities""]"	"null"	""	""
