"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"1cb2aa88-4c31-5bbc-97be-ba2ebcef1388"	"T1-W-001"	"campus-wiki/building-access/01"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"a8b11b27-70d5-5077-98fb-678635369dad"	"T1-W-002"	"campus-wiki/building-access/02-front-floor"	"[""all""]"	"null"	"Impact Assessment Support"	"영향 판정 지원"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"62214c26-4b23-5c6b-ba8a-2fb585d39421"	"T1-W-100"	"campus-wiki/building-access/02-rear-elevation"	"[""all""]"	"null"	"Impact Assessment Support"	"영향 판정 지원"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"4902feb8-567c-5eb9-a817-726975164f16"	"T1-W-003"	"campus-wiki/building-access/03"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"c6b97453-d8d8-5aa9-baff-e2981ec4e9e6"	"T1-W-004"	"campus-wiki/building-access/04"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"614389e2-3b83-5fbb-bac1-07cb20f2e4fa"	"T1-W-136"	"campus-wiki/building-access/04-recess"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"e3929a49-e9b9-566c-bdc2-296ad7ee086a"	"T1-W-005"	"campus-wiki/building-access/05"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"4ed338df-7bd0-5801-bb3b-535886f6d007"	"T1-W-006"	"campus-wiki/building-access/06-explain-hours-eligibility"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"2af35f74-abb5-54ae-aca6-7d315270ae57"	"T1-W-137"	"campus-wiki/building-access/06-explain-eligibility"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"c30faae3-e8de-530c-a279-cb7a33133bc8"	"T1-W-101"	"campus-wiki/building-access/06-no-credential-issuance"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"5b1a6f72-c56d-515f-bb2d-9cd443275bff"	"T1-W-102"	"campus-wiki/building-access/06-no-unlocking"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"b6987cd9-7198-56b5-bf6f-0162624db30f"	"T1-W-007"	"campus-wiki/building-access/07"	"[""student"", ""staff""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"f80ad345-f0ce-54bc-bd8d-e2f0e1f1b1c0"	"T1-W-008"	"campus-wiki/building-access/08-verified-contact"	"[""student"", ""staff""]"	"null"	"Missing Context"	"누락 보완"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"732458c0-fedc-5bc7-965e-36f8d46c4d8a"	"T1-W-103"	"campus-wiki/building-access/08-no-unverified-number"	"[""student"", ""staff""]"	"null"	"Missing Context"	"누락 보완"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"cb1e0734-91ce-53f3-b00c-da4734df5cb5"	"T1-W-009"	"campus-wiki/building-access/09"	"[""staff"", ""construction-facilities""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"36db4bf8-285c-573b-8127-0efa0c10f8bd"	"T1-W-010"	"campus-wiki/building-access/10"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"804bfc6b-188b-5579-bc83-10b04a28bd69"	"T1-W-130"	"campus-wiki/building-access/12"	"[""all""]"	"null"	"Update Target"	"수정 대상"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"cc2a0d18-0b49-5923-9b53-2e68140b13a0"	"T1-W-054"	"campus-wiki/building-access/13-term-opening"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"3ca6b6b2-c381-5247-83cc-cfad0ce862f7"	"T1-W-055"	"campus-wiki/building-access/14-recess-opening"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"4a01fd2b-fb4d-5759-88c9-1b6de1a30331"	"T1-W-056"	"campus-wiki/building-access/15-weekend-hours"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"78298531-74b8-591b-ae32-b6175f476ca7"	"T1-W-057"	"campus-wiki/building-access/16-holiday-hours"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"4189e656-a4ef-5fe0-af68-943d86e83a83"	"T1-W-058"	"campus-wiki/building-access/17-first-time-visitors"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"aee44d0a-5c4c-59ec-b350-b229570fbd09"	"T1-W-059"	"campus-wiki/building-access/18-ramp-demand"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"d2f32d9e-7b85-5720-ad36-80c6f5f1c071"	"T1-W-060"	"campus-wiki/building-access/19-staff-eligibility"	"[""staff""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"2d97d6b9-4287-5f52-9801-26d2081b111f"	"T1-W-061"	"campus-wiki/building-access/20-service-entrance"	"[""staff"", ""construction-facilities""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"fef275b1-b2c1-5cc5-8f75-a1d01782a1e0"	"T1-W-062"	"campus-wiki/building-access/21-family-visitors"	"[""all""]"	"null"	"Unaffected"	"비영향"
"1"	"task-1-campus-authority"	"campus-wiki/building-access"	"41d5bf0b-9a62-5821-b3fd-60f58ce2d980"	"T1-W-063"	"campus-wiki/building-access/22-rideshare-front-entrance-expectation"	"[""all""]"	"null"	"Unaffected"	"비영향"
